Cost:  0.2235751574613805 params:  {'growth': 0.01, 'eps': 0.25666966580103145, 'a': 0.9954894879343743, 'b': 0.7586165648279405, 'gamma_f': 0.5939119365418417, 'gamma_g': 0.5939119365418417, 'eta_g': 0.3705407967889669, 'eta_f': 0.3705407967889669, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1400901207434421, 'beta_0': -0.24905460610648117, 'delta_sig': 0.6890866159912453, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.2235751083999987 params:  {'growth': 0.01, 'eps': 0.25666966580103145, 'a': 0.9954894879343743, 'b': 0.7586165648279405, 'gamma_f': 0.5939119365418417, 'gamma_g': 0.5939119365418417, 'eta_g': 0.3705407967889669, 'eta_f': 0.3705407967889669, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1400901307434421, 'beta_0': -0.24905461610648116, 'delta_sig': 0.6890866159912453, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.22357516678000655 params:  {'growth': 0.01, 'eps': 0.25666966580103145, 'a': 0.9954894979343744, 'b': 0.7586165648279405, 'gamma_f': 0.5939119365418417, 'gamma_g': 0.5939119365418417, 'eta_g': 0.3705407967889669, 'eta_f': 0.3705407967889669, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1400901207434421, 'beta_0': -0.24905461610648116, 'delta_sig': 0.6890866159912453, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.22357519052786104 params:  {'growth': 0.01, 'eps': 0.25666966580103145, 'a': 0.9954894879343743, 'b': 0.7586165748279405, 'gamma_f': 0.5939119365418417, 'gamma_g': 0.5939119365418417, 'eta_g': 0.3705407967889669, 'eta_f': 0.3705407967889669, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1400901207434421, 'beta_0': -0.24905461610648116, 'delta_sig': 0.6890866159912453, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.22357516541103076 params:  {'growth': 0.01, 'eps': 0.25666966580103145, 'a': 0.9954894879343743, 'b': 0.7586165648279405, 'gamma_f': 0.5939119465418418, 'gamma_g': 0.5939119465418418, 'eta_g': 0.3705407967889669, 'eta_f': 0.3705407967889669, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1400901207434421, 'beta_0': -0.24905461610648116, 'delta_sig': 0.6890866159912453, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.2235752571349543 params:  {'growth': 0.01, 'eps': 0.25666966580103145, 'a': 0.9954894879343743, 'b': 0.7586165648279405, 'gamma_f': 0.5939119365418417, 'gamma_g': 0.5939119365418417, 'eta_g': 0.3705408067889669, 'eta_f': 0.3705408067889669, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1400901207434421, 'beta_0': -0.24905461610648116, 'delta_sig': 0.6890866159912453, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.19595670324730138 params:  {'growth': 0.01, 'eps': 0.2644442338103455, 'a': 0.9972024255749474, 'b': 0.7543607339772653, 'gamma_f': 0.5960001423745425, 'gamma_g': 0.5960001423745425, 'eta_g': 0.37427397181789346, 'eta_f': 0.37427397181789346, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14708425115316107, 'beta_0': -0.24154494868640006, 'delta_sig': 0.6918789627445047, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.19595671708124757 params:  {'growth': 0.01, 'eps': 0.2644442438103455, 'a': 0.9972024255749474, 'b': 0.7543607339772653, 'gamma_f': 0.5960001423745425, 'gamma_g': 0.5960001423745425, 'eta_g': 0.37427397181789346, 'eta_f': 0.37427397181789346, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14708425115316107, 'beta_0': -0.24154494868640006, 'delta_sig': 0.6918789627445047, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.19595669549779626 params:  {'growth': 0.01, 'eps': 0.2644442338103455, 'a': 0.9972024255749474, 'b': 0.7543607339772653, 'gamma_f': 0.5960001423745425, 'gamma_g': 0.5960001423745425, 'eta_g': 0.37427397181789346, 'eta_f': 0.37427397181789346, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14708425115316107, 'beta_0': -0.24154494868640006, 'delta_sig': 0.6918789727445047, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.19595669456406561 params:  {'growth': 0.01, 'eps': 0.2644442338103455, 'a': 0.9972024255749474, 'b': 0.7543607339772653, 'gamma_f': 0.5960001423745425, 'gamma_g': 0.5960001423745425, 'eta_g': 0.37427397181789346, 'eta_f': 0.37427397181789346, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14708425115316107, 'beta_0': -0.24154493868640006, 'delta_sig': 0.6918789627445047, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
